Date,GDP,GDPIMPR,LOGGDP,GrowthRate,li1,li2,T
1973Q3,132.565,0,4.8870730912,-0.001387036,-2,3,94
1973Q4,131.631,0,4.8800025535,-0.0070705377,-3,3,95
1974Q1,130.866,0,4.8741738989,-0.0058286545,-4,4,96
1974Q2,130.625,0,4.8723306227,-0.0018432762,-2,3,97
1974Q3,130.443,0,4.8709363497,-0.001394273,-3,3,98
1974Q4,130.356,0,4.8702691692,-0.0006671805,-3,2,99
1975Q1,131.422,1,4.8784135197,0.0081443505,-3,3,100
1975Q2,132.848,1,4.8892056175,0.0107920978,-1,3,101
1975Q3,133.439,1,4.8936444446,0.0044388271,1,1,102
1975Q4,133.189,0,4.8917691721,-0.0018752725,2,0,103
1976Q1,132.842,0,4.8891604521,-0.00260872,3,0,104
1976Q2,133.215,1,4.8919643644,0.0028039123,2,0,105
1976Q3,133.503,1,4.8941239495,0.0021595851,0,-1,106
1976Q4,133.673,1,4.8953965191,0.0012725696,-3,-1,107
1977Q1,133.589,0,4.8947679224,-0.0006285967,-4,1,108
1977Q2,133.2,0,4.8918517581,-0.0029161643,-4,3,109
1977Q3,134.86,1,4.9042372033,0.0123854452,-3,4,110
1977Q4,136.589,1,4.9169764168,0.0127392135,-3,4,111
1978Q1,137.842,1,4.9261081017,0.0091316849,-1,4,112
1978Q2,138.742,1,4.9326160933,0.0065079916,-2,5,113
1978Q3,140.014,1,4.9417424176,0.0091263243,-2,4,114
1978Q4,141.226,1,4.9503614441,0.0086190265,-2,1,115
1979Q1,142.831,1,4.9616621132,0.0113006691,-1,0,116
1979Q2,144.374,1,4.9724071548,0.0107450417,0,-1,117
1979Q3,144.707,1,4.9747110084,0.0023038536,0,-2,118
1979Q4,145.289,1,4.9787248623,0.0040138539,-1,-3,119
1980Q1,146.187,1,4.9848866241,0.0061617618,-1,-3,120
1980Q2,147.723,1,4.9953388985,0.0104522744,1,-3,121
1980Q3,147.776,1,4.9956976137,0.0003587153,2,-3,122
1980Q4,147.79,1,4.9957923472,9.47334944507716E-005,0,-2,123
1981Q1,147.878,1,4.9963876095,0.0005952623,-1,-3,124
1981Q2,147.896,1,4.9965093241,0.0001217146,-2,-5,125
1981Q3,148.366,1,4.999682194,0.0031728699,-1,-7,126
1981Q4,149.573,1,5.007784568,0.008102374,-1,-7,127
1982Q1,151.539,1,5.0208430176,0.0130584496,1,-9,128
1982Q2,153.586,1,5.0342606707,0.0134176532,2,-10,129
1982Q3,153.931,1,5.0365044501,0.0022437793,3,-11,130
1982Q4,153.554,0,5.0340522967,-0.0024521534,2,-12,131
1983Q1,153.495,0,5.0336679932,-0.0003843035,1,-11,132
1983Q2,154.071,1,5.0374135351,0.0037455419,0,-9,133
1983Q3,154.466,1,5.0399740074,0.0025604723,0,-7,134
1983Q4,154.719,1,5.0416105684,0.001636561,-1,-4,135
1984Q1,155.208,1,5.0447661528,0.0031555844,1,-2,136
1984Q2,155.975,1,5.049695738,0.0049295852,3,0,137
1984Q3,156.373,1,5.0522441789,0.0025484409,2,-1,138
1984Q4,155.818,0,5.0486886595,-0.0035555194,2,-1,139
1985Q1,155.7,0,5.0479310788,-0.0007575807,1,1,140
1985Q2,155.63,0,5.0474813952,-0.0004496836,-1,-1,141
1985Q3,155.494,0,5.0466071457,-0.0008742496,-1,-2,142
1985Q4,155.578,1,5.0471472136,0.0005400679,-1,-4,143
1986Q1,156.311,1,5.0518476124,0.0047003989,1,-5,144
1986Q2,156.641,1,5.0539565628,0.0021089504,2,-6,145
1986Q3,156.616,0,5.0537969495,-0.0001596134,3,-7,146
1986Q4,156,0,5.0498560072,-0.0039409422,2,-8,147
1987Q1,157.753,1,5.0610305187,0.0111745114,1,-9,148
1987Q2,158.249,1,5.0641697419,0.0031392232,0,-7,149
1987Q3,159.559,1,5.0724137598,0.0082440179,2,-5,150
1987Q4,159.7,1,5.0732970552,0.0008832954,0,-5,151
1988Q1,159.886,1,5.0744610613,0.0011640061,-1,-5,152
1988Q2,160.306,1,5.0770844887,0.0026234274,-3,-3,153
1988Q3,161.089,1,5.0819570073,0.0048725185,-2,-2,154
1988Q4,163.089,1,5.0942960641,0.0123390568,1,-2,155
1989Q1,163.219,1,5.0950928573,0.0007967933,2,-2,156
1989Q2,163.872,1,5.0990856353,0.003992778,-1,-1,157
1989Q3,165.176,1,5.1070115721,0.0079259368,-2,0,158
1989Q4,166.753,1,5.1165136756,0.0095021036,-4,2,159
1990Q1,167.868,1,5.1231779563,0.0066642806,-4,3,160
1990Q2,169.211,1,5.1311464569,0.0079685006,-3,5,161
1990Q3,170.815,1,5.1405810995,0.0094346426,-2,5,162
1990Q4,172.365,1,5.1496143214,0.0090332219,-1,5,163
1991Q1,173.121,1,5.153990772,0.0043764506,-1,4,164
1991Q2,174.023,1,5.1591874744,0.0051967024,-1,2,165
1991Q3,174.336,1,5.1609844716,0.0017969973,0,1,166
1991Q4,174.697,1,5.1630530447,0.0020685731,0,-1,167
1992Q1,175.033,1,5.1649745276,0.0019214829,1,-3,168
1992Q2,175.276,1,5.1663618744,0.0013873468,1,-4,169
1992Q3,175.771,1,5.1691820115,0.0028201371,2,-4,170
1992Q4,175.3,0,5.1664987919,-0.0026832195,4,-4,171
1993Q1,175.1,0,5.1653572393,-0.0011415526,3,-5,172
1993Q2,176.27,1,5.1720169104,0.0066596711,2,-6,173
1993Q3,176.941,1,5.1758163437,0.0037994332,1,-7,174
1993Q4,178.18,1,5.1827942753,0.0069779316,1,-7,175
1994Q1,178.812,1,5.1863349746,0.0035406993,0,-6,176
1994Q2,180.307,1,5.1946609536,0.0083259791,0,-5,177
1994Q3,181.249,1,5.1998717765,0.0052108228,0,-2,178
1994Q4,182.688,1,5.2077797798,0.0079080033,2,1,179
1995Q1,182.616,0,5.2073855875,-0.0003941922,3,3,180
1995Q2,182.612,0,5.2073636834,-2.19041256430685E-005,3,4,181
1995Q3,182.5,0,5.206750173,-0.0006135104,2,6,182
1995Q4,182.972,1,5.2093331357,0.0025829626,1,7,183
1996Q1,183.095,1,5.2100051438,0.0006720082,-1,7,184
1996Q2,182.665,0,5.2076538742,-0.0023512697,0,7,185
1996Q3,182.577,0,5.2071720018,-0.0004818723,1,8,186
1996Q4,181.953,0,5.203748412,-0.0034235899,0,7,187
1997Q1,180.542,0,5.1959634377,-0.0077849743,0,6,188
1997Q2,181.094,1,5.1990162335,0.0030527958,3,3,189
1997Q3,180.509,0,5.195780638,-0.0032355954,4,1,190
1997Q4,179.751,0,5.1915725599,-0.0042080782,2,-1,191
1998Q1,178.861,0,5.1866089679,-0.004963592,-1,-2,192
1998Q2,178.356,0,5.183781553,-0.0028274149,-1,-3,193
1998Q3,178.837,1,5.1864747765,0.0026932235,-1,-3,194
1998Q4,179.803,1,5.1918618071,0.0053870306,0,0,195
1999Q1,180.35,1,5.1948994073,0.0030376002,0,1,196
1999Q2,180.223,0,5.194194973,-0.0007044344,1,1,197
1999Q3,179.9,0,5.192401141,-0.001793832,3,1,198
1999Q4,179.801,0,5.1918506838,-0.0005504572,3,2,199
2000Q1,178.835,0,5.186463593,-0.0053870907,3,2,200
2000Q2,178.923,1,5.1869555457,0.0004919527,0,1,201
2000Q3,178.099,0,5.1823395755,-0.0046159702,-2,0,202
2000Q4,177.656,0,5.1798490962,-0.0024904793,-4,-2,203
2001Q1,178.892,1,5.1867822718,0.0069331756,-4,0,204
2001Q2,180.05,1,5.1932345901,0.0064523183,-3,2,205
2001Q3,182.13,1,5.2047207178,0.0114861277,0,3,206
2001Q4,184.28,1,5.2164563401,0.0117356223,2,2,207
2002Q1,183.968,0,5.2147618294,-0.0016945106,4,3,208
2002Q2,183.4,0,5.2116695598,-0.0030922696,3,2,209
2002Q3,184.286,1,5.2164888987,0.0048193389,1,1,210
2002Q4,185.661,1,5.2239224301,0.0074335315,-2,2,211
2003Q1,187.837,1,5.2355745655,0.0116521353,-5,0,212
2003Q2,190.378,1,5.2490115695,0.013437004,-5,-2,213
2003Q3,192.91,1,5.2622237589,0.0132121894,-5,-2,214
2003Q4,196.648,1,5.2814153285,0.0191915696,-4,0,215
2004Q1,199.141,1,5.2940131165,0.0125977881,-3,2,216
2004Q2,202.191,1,5.3092127952,0.0151996787,-3,5,217
2004Q3,204.94,1,5.3227172534,0.0135044582,-2,6,218
2004Q4,207.714,1,5.3361621335,0.0134448801,-1,5,219
2005Q1,207.728,1,5.3362295316,6.73980965109067E-005,0,3,220
2005Q2,207.686,0,5.3360273237,-0.0002022079,0,1,221
2005Q3,208.464,1,5.3397663645,0.0037390408,-2,-1,222
2005Q4,209.198,1,5.3432811719,0.0035148075,-2,-2,223
2006Q1,210.887,1,5.351322445,0.0080412731,-2,-5,224
2006Q2,212.95,1,5.3610573964,0.0097349514,-1,-5,225
2006Q3,214.403,1,5.3678574216,0.0068000253,-1,-6,226
2006Q4,216.141,1,5.3759309725,0.0080735509,-1,-6,227
2007Q1,218.578,1,5.3871429302,0.0112119577,0,-5,228
2007Q2,220.907,1,5.3977417985,0.0105988682,-1,-4,229
2007Q3,223.074,1,5.407503555,0.0097617565,-1,-1,230
2007Q4,224.709,1,5.4148062318,0.0073026768,0,2,231
2008Q1,224.436,0,5.4135905886,-0.0012156432,1,3,232
2008Q2,224.113,0,5.4121503889,-0.0014401996,0,4,233
2008Q3,223.984,0,5.4115746207,-0.0005757682,0,4,234
2008Q4,224.124,1,5.4121994701,0.0006248494,2,2,235
2009Q1,224.852,1,5.415442408,0.0032429379,3,0,236
2009Q2,225.347,1,5.4176414364,0.0021990284,2,0,237
2009Q3,225.792,1,5.4196142215,0.0019727851,3,-1,238
2009Q4,226.089,1,5.4209287271,0.0013145056,5,-1,239
2010Q1,226.994,1,5.4249235854,0.0039948584,4,-2,240
2010Q2,226.03,0,5.4206677338,-0.0042558516,4,-3,241
2010Q3,225.9,0,5.4200924235,-0.0005753104,5,-3,242
2010Q4,225.856,0,5.4198976281,-0.0001947954,5,-2,243
2011Q1,225.929,1,5.4202207906,0.0003231626,7,-1,244
2011Q2,224.068,0,5.4119495772,-0.0082712134,7,1,245
2011Q3,222.164,0,5.4034158479,-0.0085337293,5,1,246
2011Q4,221.734,0,5.4014784653,-0.0019373826,4,2,247
2012Q1,222.325,1,5.4041402753,0.00266181,2,2,248
2012Q2,222.255,0,5.4038253713,-0.000314904,0,3,249
2012Q3,223.295,1,5.4084937672,0.0046683959,-1,4,250
2012Q4,224.934,1,5.4158070258,0.0073132586,0,6,251
2013Q1,225.81,1,5.4196939377,0.0038869119,0,5,252
2013Q2,226.353,1,5.4220957276,0.0024017899,-1,4,253
2013Q3,227.306,1,5.4262971273,0.0042013997,-1,2,254
2013Q4,226.913,0,5.4245666841,-0.0017304432,0,1,255
2014Q1,226.55,0,5.4229656711,-0.001601013,-1,1,256
2014Q2,227.516,1,5.4272205656,0.0042548945,-2,0,257
2014Q3,229.343,1,5.4352186995,0.007998134,-2,-1,258
2014Q4,231.583,1,5.4449383406,0.009719641,-2,-1,259
2015Q1,234.097,1,5.4557355594,0.0107972188,-1,0,260
2015Q2,236.829,1,5.4673383617,0.0116028023,2,2,261
2015Q3,237.497,1,5.4701549918,0.0028166301,3,4,262
2015Q4,237.098,0,5.4684735578,-0.001681434,2,5,263
